Story Heading,Story Excerpt,Section,Date,Source
Police directed to replace G3 rifles with SMGs,G3 is not suitable for patrolling and use at checkposts says RPO.,Pakistan,4-1-2020,all
Eight gangs busted cash valuables recovered: DIG,The DIG says arrested criminals also include Afghan nationals who used to escape to Afghanistan after committing crime.,Pakistan,4-1-2020,all
Teenage boy sexually assaulted,The police have registered a case and begun investigating.,Pakistan,4-1-2020,all
Buzdar is the best choice as CM says Ejaz,“Still search for better is always there” Ejaz Chaudhry adds.,Pakistan,4-1-2020,all
AC team ‘thrashed’ during raid at PTI MNA’s wedding over violations,The AC raided farmhouse along with other officers on reports of violation of Marriage Act at the wedding ceremony.,Pakistan,4-1-2020,all
Nawaz exempted from personal appearance in sugar mills case,Remands of Yousaf Shahbaz Hamza extended.,Pakistan,4-1-2020,all
Sales meter stations to be set up to overcome low gas pressure,SNGPL says at least three sales meter stations will be constructed at a cost of Rs5.7 billion.,Pakistan,4-1-2020,all
Three-year-old taken out alive after 21 hours from Sukkur building debris,Several persons still trapped under the rubble; death toll rises to six.,Pakistan,4-1-2020,all
Academician writer Abdul Hameed Sindhi passes away,The late Sindhi established the forum Bazm-i-Rooh Rehan to hold different literary gatherings regularly.,Pakistan,4-1-2020,all
KE denies increase of Rs4 in consumers’ bills,“As per procedure any increase is spread over a period of months so as to alleviate any burden on the end consumer.”,Pakistan,4-1-2020,all
Naqvi claims Sindh govt hid audit report to ‘hide’ failures,"""Instead of lasting 20 years new roads are damaged within a year.""",Pakistan,4-1-2020,all
Murad orders completion of Orange Line project in three months,CM wants buses of uniform design to operate on Green Orange lines.,Pakistan,4-1-2020,all
Pakistan’s Asad Memon set to climb highest mountain in South America,The 22-year-old is set to climb highest mountain in South America as part of “Seven Summit Challenge”.,Newspaper,4-1-2020,all
Kulusevski could have more of an impact than Ibrahimovic,Kulusevski signed a 4½-year contract becoming the second-most expensive player born this millennium.,Newspaper,4-1-2020,all
South Africa on top as England labour with the bat,Pace bowler Nortje playing his fourth Test finished with 2-54 off 17 overs.,Newspaper,4-1-2020,all
Prolific Labuschagne leads Aussies to 283-3 on first day,Labuschagne shared a 156-run partnership with Steve Smith who made 63 to give first day honours to Australia.,Newspaper,4-1-2020,all
Gwadar fishermen warn of ‘jail bharo movement’,The local fishing community has suffered huge losses as massive sea tide destroyed a large number of vessels.,Pakistan,4-1-2020,all
Pakistan Iran to boost trade relations,Agreement reached for stopping illegal supply of Iranian diesel and checking terrorism.,Newspaper,4-1-2020,all
Sanjrani asks FM to brief Senate on ME developments on Monday,Govt in process of internal consultation to prepare reaction to Iranian commander’s killing upper house told.,Pakistan,4-1-2020,all
Petition against lawyer’s detention admitted for hearing,Defence ministry says advocate Rahim was taken into custody under the Pakistan Army Act.,Pakistan,4-1-2020,all
Govt officers urged to use social media responsibly,SAPM Awan says role of information officers is highly significant in disseminating information about policies.,Pakistan,4-1-2020,all
Women members of KP assembly briefed on Ehsaas programme,Sania says socio-economic registry survey will begin in the province soon.,Pakistan,4-1-2020,all
Qatar’s emir permitted to export falcons from Pakistan,Hunters need to change their aged falcons with younger ones that could hunt houbara bustard more efficiently.,Pakistan,4-1-2020,all
Poor soil health to hit food water security: expert,Much of the problem is caused by erosion which strips away the highly fertile top layer of soil.,Newspaper,4-1-2020,all
Tens of thousands protest against citizenship law in India,"Imran assails world’s silence over ""state terrorism"".",Newspaper,4-1-2020,all
Job creation development are govt priorities: PM,Imran performs groundbreaking ceremony of industrial city in Faisalabad inaugurates shelter home.,Pakistan,4-1-2020,all
IHC frames questions over scope of president’s powers,IHC Chief Justice directs the law and justice secretary to ensure that written comments are filed within a fortnight.,Pakistan,4-1-2020,all
Sikh youth shot dead in Peshawar,Police say the motive behind the incident has not been determined but further investigations are under way.,Pakistan,5-1-2020,all
Pakistan will play its role in maintaining peace in region: Awan,Says foreign minister will brief Senate on Monday regarding the govt's stance on recent developments in the region.,Pakistan,5-1-2020,all
Iqra Aziz's latest drama sparks outrage for making light of domestic violence,Drama Jhooti's trailer shows the actor faking being a victim of domestic abuse and people are not okay with it.,Pakistan,5-1-2020,all
Australia's Marcus Stoinis fined for homophobic slur during Big Bash League,"""I got caught in the moment and took it too far"" says the Australian all-rounder.",Sport,5-1-2020,all
'Condemnable' Nankana Sahib incident against my vision says PM Imran,"""Difference between Nakana incident and attacks in India is that the former will find zero protection from the govt.""",Pakistan,5-1-2020,all
Sonya Battla is celebrating two decades in fashion this year,From being the new kid on the block to representing Pakistan in shows abroad the designer tells her story,Pakistan,5-1-2020,all
Fear and the city: What navigating Karachi as a gendered outsider feels like,That bodies carry trauma I had always known but that cities carry it too I am learning the hard way,Pakistan,5-1-2020,all
How to dress for an epic vacation according to Pakistani celebrities,Greece backdrop + an electric blue sun dress = quadruple digit Instagram likes!,Pakistan,5-1-2020,all
NON-FICTION: BARNES STORMING,Julian Barnes’s latest book is a groundbreaking genre-bending biography which has the fascination of fiction and which,Newspaper,5-1-2020,all
FICTION: WHAT DOES IT MEAN TO BE HUMAN?,An astonishing novel that sets out to explore complex theories regarding the human experience shows that thought,Newspaper,5-1-2020,all
NON-FICTION: SILENCED HISTORIES,Revisiting 1971 in Bangladesh Pakistan and India shows how people remember the conflict and how states influence those,Newspaper,5-1-2020,all
FICTION: IN SEARCH OF LOST IDENTITY,Muhammad Hafeez Khan’s latest work of fiction — a novel in the Seraiki language titled Adh Adhooray Lok [People...,Newspaper,5-1-2020,all
JUI-F won’t vote in favour of bills regarding the tenure of the services chiefs says Fazl,Holds PML-N president responsible for disunity in ranks of the opposition.,Pakistan,5-1-2020,all
Mainstream political parties have decided to put off the battle for civilian supremacy for another day,For now they will be content with ‘sharing’ power in the larger ‘national interest’.,Pakistan,5-1-2020,all
Analysis: Trump stirs Mideast tensions despite talk of ‘endless wars’,The killing of Gen Qassem Soleimani in Baghdad has the world bracing for a possible retaliation.,Newspaper,5-1-2020,all
Child protection courts in KP dispose of around 450 cases,PHC registrar says govt released only 25pc of required funds.,Pakistan,5-1-2020,all
KP CM Mahmood changes four ministers two aides,Appoints two new ministers one adviser eight special assistants.,Pakistan,5-1-2020,all
Illegal wildlife trade thrives online despite conservation efforts,Last week IWMB confiscated a mounted Ibex trophy that was being sold on OLX illegally for Rs65000.,Pakistan,5-1-2020,all
Judge orders investigation after ‘wrong’ man sent to jail,The court directs the police to probe the matter and submit a report.,Pakistan,5-1-2020,all
Pakistan to become self-sufficient in four antisera by June,NIH plans to export antisera as it has ISO certification.,Pakistan,5-1-2020,all
Ulema visit Nankana to express solidarity with Sikhs,Demonstration leader apologises for 'hurtful comments'.,Pakistan,5-1-2020,all
Lahore witnesses sharp increase in street crime,Robbers make off with cash valuables in 36 hits during 24 hours.,Pakistan,5-1-2020,all
Edhi Foundation found 375 bodies of newly born babies in 2019,The number surpasses the figure of the preceding year.,Pakistan,5-1-2020,all
New CJP arrives in city to hear cases on 10th,Justice Gulzar Ahmed plants a sapling on the premises of the Quaid-i-Azam’s mausoleum.,Pakistan,5-1-2020,all
Sindh set to recruit over 1600 policewomen,Gilgit-Baltistan has the highest percentage of female police personnel in the country.,Pakistan,5-1-2020,all
Trump portrays himself as defender of faith for evangelicals,Trump speaks to more than 5000 Christians including a large group of Latinos at a Miami megachurch.,Newspaper,5-1-2020,all
Power supply fears as troops called to battle Australia bushfires,Since late September 23 people have died more than 1500 homes have been damaged.,Newspaper,5-1-2020,all
Uganda’s president begins jungle march to highlight liberation struggle,Museveni is one of Africa’s longest-ruling leaders.,Newspaper,5-1-2020,all
Ghosn lawyer outraged by Japan’s justice system,Takano says he has never before felt such disgust over Japan’s legal system.,Newspaper,5-1-2020,all
Rajapaksa outlines vision for Sri Lanka in parliament,Rajapaksa delivers his first-ever address to parliament on Friday after winning the presidential election on Nov 16.,Newspaper,5-1-2020,all
Thousands in shelters as Indonesia flood death toll hits 60,The death toll from the disaster jumps to 60.,Newspaper,5-1-2020,all
